堂（ｇ）,メモリ（ｇ）室温（C),,,,,,,,,,,,,,,,,,,,,,
99.3,10.9,26.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
本測定１,184(g),,,,,本測定２,221.7(g),,,,,本測定3,260.3,,,,,,本測定4,297.5(g),,,
時間(分),温度,,,,,時間(min),温度(℃),,,,,0,24.3,,,,,,0,24.3,,,
0,24,,,,,0,24.3,,,,,1,24.3,,,,,,1,24.4,,,
1,24.4,,,,,1,24.3,,,,,2,24.4,,,,,,2,24.4,,,
2,24.4,,,,,2,24.3,,,,,3,24.4,,,,,,3,24.4,,,
3,24.4,,,,,3,24.4,,,,,4,24.5,,,,,,4,24.4,,,
4,24.4,,電源,4.00V,,4,24.5,,電源,4.00(v),,5,24.5,,電源,4.00(V),,,5,24.5,,電源,4.00(V)
5,24.5,,,1.559A,,5,24.5,,,1.555(a),,6,24.7,,,1.559(A),,,6,24.6,,,1.563(A)
6,24.8,,コイル,3.5V,,6,24.5,,コイル,1.58(A),,7,25,,コイル,1.58(A),,,7,24.8,,コイル,1.59(A)
7,25.1,,,1.57A,,7,24.9,,,3.5(V),,8,25.2,,,3.5(V),,,8,25.1,,,3.5(V)
8,25.5,,,,,8,25.3,,,,,9,25.6,,,,,,9,25.4,,,
9,25.7,,t1,5,,9,25.7,,t1,5,,10,25.8,,t1,5,,,10,25.6,,t1,5
10,26.2,,t2,16.38,,10,26.1,,t2,18.22,,11,26.2,,t2,20.23,,,11,25.9,,t2,22.56
11,26.6,,,,,11,26.4,,t2',19.22,,12,26.4,,,,,,12,26.1,,,
12,27,,,,,12,26.7,,,,,13,26.7,,,,,,13,26.4,,,
13,27.2,,,,,13,27,,,,,14,27,,,,,,14,26.6,,,
14,27.5,,,,,14,27.2,,,,,15,27.1,,,,,,15,26.9,,,
15,27.8,,,,,15,27.5,,,,,16,27.4,,,,,,16,27,,,
16,28.1,,,,,16,27.8,,,,,17,27.6,,,,,,17,27.2,,,
16.38,28.4,,,,,17,28.1,,,,,18,27.9,,,,,,18,27.4,,,
17.38,28.4,,,,,18,28.4,,,,,19,28.1,,,,,,19,27.6,,,
18.38,28.4,,,,,19.22,28.8,,,,,20,28.4,,,,,,20,27.8,,,
19.38,28.4,,,,,20.22,28.9,,,,,20.23,28.5,,,,,,21,28.1,,,
20.38,28.3,,,,,21.22,28.8,,,,,21.23,28.5,,,,,,22,28.3,,,
21.38,28.3,,,,,22.22,28.8,,,,,22.23,28.5,,,,,,22.56,28.5,,,
,,,,,,23.22,28.8,,,,,23.23,28.4,,,,,,23.56,28.5,,,
,,,,,,24.22,28.8,,,,,24.23,28.4,,,,,,24.56,28.5,,,
,,,,,,,,,,,,25.23,28.4,,,,,,25.56,28.4,,,
,,,,,,,,,,,,,,,,,,,26.56,28.4,,,
,,,,,,,,,,,,,,,,,,,27.56,,,,
